ticker,institutional_pct,insider_pct,short_pct,float_shares_m,num_inst_holders,insider_buys,insider_sells,insider_sentiment,institutional_score,institutional_stage
KEY,91.08,0.28,2.64,1098.12,10,0,0,Neutral,70,Strong Institutional Support
KEYS,92.45,0.6,1.97,170.86,10,0,0,Neutral,70,Strong Institutional Support
KHC,61.67,27.85,7.43,852.39,10,0,0,Neutral,60,Institutional Support
KIM,98.21,2.15,4.83,661.15,10,0,0,Neutral,65,Institutional Support
KKR,62.21,23.59,1.54,684.58,10,0,0,Neutral,65,Institutional Support
KLAC,94.43,0.1,2.59,130.76,10,0,0,Neutral,70,Strong Institutional Support
KMB,85.03,0.66,10.9,330.78,10,0,0,Neutral,55,Institutional Support
KMI,68.93,12.78,2.39,1938.66,10,0,0,Neutral,65,Institutional Support
KMX,102.13,0.44,13.52,140.97,10,0,0,Neutral,55,Institutional Support
KO,66.16,9.89,0.84,3872.87,10,0,0,Neutral,65,Institutional Support
KR,82.0,8.78,5.71,739.98,10,0,0,Neutral,65,Institutional Support
KVUE,98.69,0.04,3.97,1913.45,10,0,0,Neutral,65,Institutional Support
L,60.81,18.94,1.95,168.95,10,0,0,Neutral,65,Institutional Support
LDOS,80.79,0.55,2.17,126.91,10,0,0,Neutral,70,Strong Institutional Support
LEN,99.17,5.38,5.52,213.18,10,0,0,Neutral,65,Institutional Support
LH,98.21,0.33,4.76,82.52,10,0,0,Neutral,65,Institutional Support
LHX,89.12,0.33,2.14,186.2,10,0,0,Neutral,70,Strong Institutional Support
LIN,87.77,0.24,1.6,464.57,10,0,0,Neutral,70,Strong Institutional Support
LKQ,103.57,0.46,7.42,254.25,10,0,0,Neutral,65,Institutional Support
LLY,83.49,0.16,0.97,893.08,10,0,0,Neutral,70,Strong Institutional Support
LMT,75.23,0.08,1.33,195.52,10,0,0,Neutral,65,Institutional Support
LNT,89.04,0.23,8.71,256.34,10,0,0,Neutral,65,Institutional Support
LOW,80.39,0.11,1.9,559.8,10,0,0,Neutral,70,Strong Institutional Support
LRCX,88.42,0.31,2.79,1243.43,10,0,0,Neutral,70,Strong Institutional Support
LULU,77.69,4.61,5.5,107.78,10,0,0,Neutral,60,Institutional Support
LUV,102.2,1.25,4.96,438.5,10,0,0,Neutral,65,Institutional Support
LVS,42.59,57.66,4.12,316.71,10,0,0,Neutral,50,Neutral
LW,94.38,3.0,5.17,137.64,10,0,0,Neutral,65,Institutional Support
LYB,70.49,20.47,6.88,255.84,10,0,0,Neutral,60,Institutional Support
LYV,82.95,32.64,11.47,156.27,10,0,0,Neutral,55,Institutional Support
MA,91.48,0.52,0.81,886.11,10,0,0,Neutral,70,Strong Institutional Support
MAA,99.09,0.67,3.79,115.87,10,0,0,Neutral,65,Institutional Support
MAR,65.8,17.91,3.45,234.08,10,0,0,Neutral,60,Institutional Support
MAS,99.02,0.22,4.51,206.87,10,0,0,Neutral,65,Institutional Support
MCD,75.32,0.22,1.09,711.06,10,0,0,Neutral,65,Institutional Support
MCHP,98.08,2.1,5.69,529.6,10,0,0,Neutral,65,Institutional Support
MCK,91.86,0.03,1.65,122.32,10,0,0,Neutral,70,Strong Institutional Support
MCO,79.24,13.95,1.65,164.75,10,0,0,Neutral,65,Institutional Support
MDLZ,88.72,0.2,2.97,1278.24,10,0,0,Neutral,70,Strong Institutional Support
MDT,87.87,0.29,1.31,1279.68,10,0,0,Neutral,70,Strong Institutional Support
MET,78.55,16.52,1.82,546.72,10,0,0,Neutral,65,Institutional Support
META,79.52,0.06,1.49,2182.63,10,0,0,Neutral,65,Institutional Support
MGM,74.48,26.75,15.18,189.06,10,0,0,Neutral,50,Neutral
MHK,85.53,17.62,6.44,51.14,10,0,0,Neutral,65,Institutional Support
MKC,92.48,0.01,0.0,264.84,10,0,0,Neutral,70,Strong Institutional Support
MKTX,100.07,2.34,6.33,35.86,10,0,0,Neutral,65,Institutional Support
MLM,98.99,0.74,3.79,59.84,10,0,0,Neutral,65,Institutional Support
MMC,92.08,0.07,1.01,489.04,10,0,0,Neutral,70,Strong Institutional Support
MMM,75.15,0.11,1.41,525.85,10,0,0,Neutral,65,Institutional Support
MNST,70.63,28.59,2.63,696.87,10,0,0,Neutral,65,Institutional Support
MO,62.89,0.09,2.85,1673.8,10,0,0,Neutral,65,Institutional Support
MOH,111.11,1.38,7.88,47.56,10,0,0,Neutral,65,Institutional Support
MOS,96.98,0.47,5.57,315.72,10,0,0,Neutral,65,Institutional Support
MPC,76.84,0.28,3.37,294.16,10,0,0,Neutral,60,Institutional Support
MPWR,102.21,4.31,5.67,46.5,10,0,0,Neutral,65,Institutional Support
MRK,80.32,0.06,1.51,2478.0,10,0,0,Neutral,70,Strong Institutional Support
MRNA,71.19,7.41,21.86,364.15,10,0,0,Neutral,50,Neutral
MRO,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
MS,63.18,24.04,1.32,1201.58,10,0,0,Neutral,65,Institutional Support
MSCI,95.99,3.56,2.68,69.47,10,0,0,Neutral,70,Strong Institutional Support
MSFT,76.1,0.07,0.74,7414.71,10,0,0,Neutral,65,Institutional Support
MSI,87.7,0.43,1.71,165.82,10,0,0,Neutral,70,Strong Institutional Support
MTB,92.28,0.39,4.21,151.11,10,0,0,Neutral,65,Institutional Support
MTCH,109.8,0.65,6.92,230.87,10,0,0,Neutral,65,Institutional Support
MTD,103.7,0.45,3.08,20.21,10,0,0,Neutral,65,Institutional Support
